a [a:]
lyftya [‘lɪftja]
lyha [‘lɪha]
lowena [lɔ’wɛna]
lyjyon [‘lɪʤjɔn]
lymm [lɪm:]
lowender [lɔ’wɛndɛr]
lymmaval [lɪm’aval]
lowenek [lɔ’wɛnɛk]
lymmelin [lɪm’ɛlɪn]
lowenhe [ˌlɔwɛn’hɛ:]
lymna [‘lɪmna]
lymnans [‘lɪmnans]
lower [‘lɔwɛr]
lymner [‘lɪmnɛr]
lymnores [lɪm’nɔrɛs]
-ma [ma]
lynn [lɪn:]
lys [lɪ:z]
mab [ma:b]
lyskanasedh [ˌlɪska’nazɛð]
lyskanasek [ˌlɪska’nazɛk]
lyskannas [lɪs’kan:as]
maban [‘maban]
mab-gov [ˌmaˑb’gɔ:v]
lysten [‘lɪstɛn]
mabyar [‘mabjar]
madama [ma’da:ma]
maga [‘maga]
gan [magan]
gas [magas]
magereth [ma’gɛrɛθ]
maghteth [‘maxtɛθ]
lyven [‘lɪvɛn]
maglen [‘maglɛn]
maglenna [ma’glɛn:a]
magli [‘magli]
magor [‘magɔr]
lyverva [lɪ’vɛrva]
magores [ma’gɔrɛs]
lyveryades [ˌlɪvɛr’jadɛs]
magus [‘magʏs]
lyveryas [lɪ’vɛrjas]
majenta [ma’ʤɛnta]
Makedoni [ˌmakɛ’dɔni]
lyvrik [‘lɪvrɪk]
lyvryn [‘lɪvrɪn]
Makedonian [maˌkɛdɔ’ni:an]
m [m]
Makedonianes [ˌmakɛˌdɔni’anɛs]
mamoleth [ma’mɔlɛθ]
Makedoniek [maˌkɛdɔ’ni:ɛk]
managh [‘manax]
makedoniek [maˌkɛdɔ’ni:ɛk]
managhes [ma’nahɛs]
mal [ma:l]
managhti [ma’naxti]
mala [‘mala]
malan [‘malan]
manek [‘manɛk]
malbew [ˌmal’bɛˑʊ]
malell [‘malɛl]
maler [‘malɛr]
mall [mal:]
mallborth [‘malbɔrθ]
malow [‘malɔʊ]
manerji [ma’nɛrʤi]
Malta [‘malta]
Maltek [‘maltɛk]
manerus [ma’nɛrʏs]
maneruster [ˌmanɛ’rʏstɛr]
maltek [‘maltɛk]
Maltyades [malt’jadɛs]
manga [‘maŋga]
Maltyas [‘maltjas]
mango [‘maŋgɔ]
mann [man:]
mamm [mam:]
mannbluv [‘manblʏv]
mammeth [‘mam:ɛθ]
mannvona [man’vɔna]
mammfurv [‘mamfʏrv]
Manow [‘manɔʊ]
Manowek [ma’nɔwɛk]
mammik [‘mam:ɪk]
manowek [ma’nɔwɛk]
mammrewl [‘mamrɛʊl]
mansyon [‘manzjɔn]
mantedh [‘mantɛð]
mammskrif [‘mamskrɪf]
mantel [‘mantɛl]
mammvro [‘mamvrɔ]
mantol [‘mantɔl]
mammyeth [‘mamjɛθ]
manykyn [‘manɪkɪn]
manylya [ma’nɪlja]
marghogeth [mar’hɔgɛθ]
manylyon [ma’nɪljɔn]
marghredik [marx’rɛdɪk]
mappa [‘mapa]
marghti [‘marxti]
mar [ma:r]
marksydh [‘marksɪð]
marksydhek [marks’ɪðɛk]
marksydhes [marks’ɪðɛs]
maras [‘maras]
Marksydhieth [ˌmarksɪ’ði:ɛθ]
marbel [‘marbəl]
marblen [‘marblɛn]
markyans [‘markjans]
marchont [‘marʧɔnt]
marmelada [ˌmarmɛ’la:da]
margarin [‘margaˌrin]
marnas [‘marnas]
margh [marx]
marner [‘marnɛr]
marow [‘marɔʊ]
marghador [mar’hadɔr]
marowvor [ma’rɔʊvɔr]
marghadores [ˌmarha’dɔrɛs]
mars [marz]
martesen [mar’tɛzɛn]
marghas [‘marhas]
marth [marθ]
marghasa [mar’haza]
marthek [‘marθɛk]
marghasans [mar’hazans]
marthus [‘marθʏs]
marthys [‘marθɪs]
marghasva [mar’hazva]
marghek [‘marhɛk]
marvor [‘marvɔr]
marwel [‘marwɛl]
marghnerth [‘marxnɛrθ]
marwostel [mar’wɤstɛl]
marghoges [mar’hɔgɛs]
marwostla [mar’wɤstla]
maystri [‘maɪstri]
marya [‘marja]
maryach [‘marjaʧ]
Me [mɛ:]
mas [ma:z]
mebel [‘mɛbɛl]
s [maz]
mebla [‘mɛbla]
maseth [‘mazɛθ]
medalen [mɛ’dalɛn]
mask [ma:sk]
meder [‘mɛdɛr]
maskara [mas’kara]
medh [mɛ:ð]
maskot [‘maskɔt]
medhador [mɛ’ðadɔr]
mason [‘mazɔn]
medhadores [ˌmɛða’dɔrɛs]
masones [ma’zɔnɛs]
medhegel [mɛ’ðɛgɛl]
mata [‘ma:ta]
medhegieth [ˌmɛðɛ’gi:ɛθ]
mater [‘matɛr]
mathematik [ˌmaθɛ’matɪk]
medhegneth [mɛ’ðɛgnɛθ]
matras [‘matras]
medhegva [mɛ’ðɛgva]
maw [maˑʊ]
medhegvael [ˌmɛðɛg’va:ɛl]
medhek [‘mɛðɛk]
maylya [‘maɪlja]
maylyans [‘maɪljans]
maylyer [‘maɪljɛr]
mayn [maɪn]
medhel [‘mɛðɛl]
maynek [‘maɪnɛk]
mayni [‘maɪni]
medhelhe [ˌmɛðɛl’hɛ:]
maynor [‘maɪnɔr]
medhelheans [ˌmɛðɛl’hɛ:ans]
maynores [maɪ’nɔrɛs]
medhelweyth [mɛ’ðɛlwɛɪθ]
maynorieth [ˌmaɪnɔ’ri:ɛθ]
medhoges [mɛ’ðɔgɛs]
meliner [mɛ’linɛr]
melinji [mɛ’lɪnʤi]
melinores [ˌmɛlɪ’nɔrɛs]
medhow [‘mɛðɔʊ]
mell [mɛl:]
medhwenep [mɛð’wɛnɛp]
mellek [‘mɛl:ɛk]
medhwi [‘mɛðwi]
mellya [‘mɛlˑja]
mellyans [‘mɛljans]
mellyer [‘mɛlˑjɛr]
medra [‘mɛdra]
mellyon [‘mɛlˑjɔn]
medras [‘mɛdras]
medynor [mɛ’dɪnɔr]
melodi [‘mɛlɔdi]
melodius [ˌmɛlɔ’di:ʏs]
megabayt [‘mɛgabaɪt]
melon [‘mɛlɔn]
megi [‘mɛgi]
melyas [‘mɛljas]
melyn [‘mɛlɪn]
megrim [‘mɛgrɪm]
megyans [‘mɛgjans]
megys [‘mɛgɪs]
melyores [mɛl’jɔrɛs]
mekanek [mɛ’kanɛk]
Meksikan [‘mɛksɪkan]
melys [‘mɛlɪs]
meksikan [‘mɛksɪkan]
melyshe [ˌmɛlɪs’hɛ:]
Meksikanes [ˌmɛksɪ’kanɛs]
melyssand [mɛ’lɪsant]
Meksiko [‘mɛksɪkɔ]
melysugen [ˌmɛlɪ’zʏgɛn]
mel [mɛ:l]
melder [‘mɛldɛr]
men [mɛ:n]
melhwen [‘mɛlʍɛn]
melhwes [‘mɛlʍɛs]
melhwessa [mɛl’ʍɛsa]
melhwioges [ˌmɛlʍi’ɔgɛs]
melin [‘mɛlɪn]
mencyon [‘mɛnsjɔn]
mendya [‘mɛndja]
menedhek [mɛ’nɛðɛk]
menstrel [‘mɛnstrɛl]
menedhorieth [mɛˌnɛðɔ’ri:ɛθ]
menta [‘mɛnta]
menedhyek [mɛ’nɛðjɛk]
mentena [mɛn’tɛ:na]
menedhyer [mɛn’ɛðjɛr]
mentenour [mɛn’tɛ:nʊr]
menedhyores [ˌmɛnɛð’jɔrɛs]
mentenoures [ˌmɛntɛ’nu:rɛs]
menegek [mɛ’nɛgɛk]
meneges [mɛ’nɛgɛs]
mentenya [mɛn’tɛ:nja]
meneghi [mɛ’nɛhi]
mentons [‘mɛntɔns]
meneghiji [ˌmɛnɛ’hɪʤi]
menweyth [‘mɛnwɛɪθ]
menegva [mɛ’nɛgva]
menya [‘mɛ:nja]
menydh [‘mɛnɪð]
menegyans [mɛ’nɛgjans]
menek [‘mɛnɛk]
menyster [‘mɛnɪstɛr]
menestrouthi [ˌmɛnɛs’tru:θi]
menystra [mɛ’nɪstra]
mengleudh [‘mɛnglœð]
menystracyon [ˌmɛnɪst’rasjɔn]
mengleudhyer [mɛn’glœðjɛr]
menystrans [mɛ’nɪstrans]
menhe [ˌmɛn’hɛ:]
menhesen [mɛ’nhɛzɛn]
menystrek [mɛ’nɪstrɛk]
mening [‘mɛ:nɪŋg]
menystrer [mɛ’nɪstrɛr]
menowes [mɛ’nɔwɛs]
menystres [‘mɛnɪstrɛs]
menowgh [‘mɛnɔʊx]
menystrores [ˌmɛnɪst’rɔrɛs]
menowghter [mɛ’nɔʊxtɛr]
meppik [‘mɛpɪk]
menowhedh [mɛ’nɔʊhɛð]
mera [‘mɛra]
menoyl [‘mɛnɔɪl]
merci [‘mɛrsi]
messianek [ˌmɛsi’anɛk]
meres [‘mɛrɛs]
messias [mɛ’si:as]
mester [‘mɛ:stɛr]
Merher [‘mɛrhɛr]
Mestres [‘mɛ:strɛs]
meri [‘mɛri]
merit [‘mɛrɪt]
mestres [‘mɛ:strɛs]
merji [‘mɛrʤi]
merk [mɛrk]
merkya [‘mɛrkja]
Mestresik [mɛs’trɛzɪk]
merkyl [‘mɛrkɪl]
mestrev [‘mɛstrɛv]
merlosow [mɛr’lɔzɔʊ]
mestronieth [ˌmɛˑstrɔ’ni:ɛθ]
mernans [‘mɛrnans]
mestrynses [mɛs’trɪnzɛs]
merther [‘mɛrθɛr]
mesya [‘mɛzja]
metaboledh [ˌmɛta’bɔlɛð]
mertheres [mɛr’θɛrɛs]
metabolek [ˌmɛta’bɔlɛk]
mertherya [mɛr’θɛrja]
merwel [‘mɛrwɛl]
metelyek [mɛ’tɛljɛk]
meter [‘mɛ:tɛr]
meryw [‘mɛrɪʊ]
meth [mɛ:θ]
methardak [mɛθ’ardak]
meskel [‘mɛskɛl]
methek [‘mɛθɛk]
meskla [‘mɛskla]
messach [‘mɛsaʧ]
Metheven [mɛ’θɛvɛn]
method [‘mɛθɔt]
messajya [mɛ’saʤja]
Methodek [mɛ’θɔdɛk]
messejer [‘mɛsɛʤɛr]
methodek [mɛ’θɔdɛk]
meythrinva [mɛɪθ’rɪnva]
Methodydh [mɛ’θɔdɪð]
mik [mi:k]
Methodydhes [ˌmɛθɔ’dɪðɛs]
mikrofon [‘mɪkrɔfɔn]
methus [‘mɛθʏs]
mil [mi:l]
metol [‘mɛtɔl]
milblek [‘mɪlblɛk]
mildam [‘mɪldam]
metolyek [mɛ’tɔljɛk]
mildir [mɪl’di:r]
miliga [mɪ’liga]
milimeter [ˌmɪlɪ’mɛtɛr]
milonieth [ˌmɪlɔ’ni:ɛθ]
milus [‘milʏs]
metya [‘mɛ:tja]
miluster [mɪ’lʏstɛr]
milva [‘mɪlva]
milvedhek [mɪl’vɛðɛk]
metyans [‘mɛ:tjans]
milves [‘mɪlvɛz]
meur [mø:r]
milvilves [mɪl’vɪlvɛs]
milvilvowes [ˌmɪlvɪl’vɔwɛs]
milvilwas [mɪl’vɪlwas]
milvilweyth [mɪl’vɪlwɛɪθ]
meuredh [‘mœrɛð]
meurgerys [mœr’gɛrɪs]
milvledhen [mɪl’vlɛðɛn]
meurlith [‘mœrlɪθ]
milwell [ˌmiˑl’wɛl:]
Meurth [mœrθ]
milweth [ˌmiˑl’wɛ:θ]
meus [mø:z]
milweyth [‘mɪlwɛɪθ]
meusva [‘mœzva]
milyon [‘mɪljɔn]
meusya [‘mœzja]
mim [mi:m]
mewgh [mɛʊx]
mimya [‘mi:mja]
min [mi:n]
mewghya [‘mɛʊxja]
mingow [‘mɪŋgɔʊ]
mingreft [‘mɪŋgrɛft]
mewl [mɛʊl]
minhwarth [‘mɪnʍarθ]
meyl [mɛɪl]
minhwerthin [mɪn’ʍɛrθɪn]
meythrin [‘mɛɪθrɪn]
minliw [‘mɪnlɪʊ]
minor [‘mi:nɔr]
minoryta [mɪ’nɔrɪta]
mog [mɔ:g]
minvlew [‘mɪnvlɛʊ]
mogh [mɔ:x]
minvlewen [‘mɪnvlɛʊ]
mogha [‘mɔxa]
miow [mi’ɔʊ]
moghhe [ˌmɔx’hɛ:]
miowal [mi’ɔwal]
mir [mi:r]
mol [mɔ:l]
mola [‘mɔla]
miraj [‘miraʤ]
Moldavek [mɔl’davɛk]
mirer [‘mirɛr]
moldavek [mɔl’davɛk]
mires [‘mirɛs]
Moldavian [ˌmɔlda’vi:an]
Moldavianes [mɔlˌdavi’anɛs]
Moldova [mɔl’dɔva]
mirores [mɪ’rɔrɛs]
moldra [‘mɔldra]
moldrans [‘mɔldrans]
mirour [‘mirʊr]
mirva [‘mɪrva]
moldrer [‘mɔldrɛr]
mis [mi:z]
moldrores [mɔl’drɔrɛs]
molekulen [ˌmɔlɛ’ky:lɛn]
molethi [mɔ’lɛθi]
molgh [mɔlx]
molleth [‘mɔl:ɛθ]
misek [‘mizɛk]
miskemeryans [ˌmɪskɛ’mɛrjans]
molothek [mɔ’lɔθɛk]
molys [‘mɔlɪs]
miskemerys [ˌmɪskɛ’mɛrɪs]
momentom [mɔ’mɛntɔm]
mistal [‘mɪstal]
mon [mɔ:n]
misyek [‘mɪzjɛk]
mona [‘mɔna]
misyow [‘mɪzjɔʊ]
mo [mɔ:]
mockya [‘mɔkja]
mones [‘mɔnɛs]
modem [‘mɔdɛm]
monesek [mɔ’nɛzɛk]
modern [‘mɔdɛrn]
mong [mɔŋg]
modrebik [mɔd’rɛbɪk]
mongel [‘mɔŋgɛl]
modrep [‘mɔdrɛp]
mongleudh [‘mɔnglœð]
monopolegieth [ˌmɔnɔˌpɔlɛ’gi:ɛθ]
morgi [‘mɔrgi]
morgowles [mɔr’gɔʊlɛs]
monopoli [mɔ’nɔpɔli]
morgroban [mɔr’grɤban]
mool [mo:l]
morhogh [‘mɔrhɔx]
moos [mo:z]
morlader [mɔr’ladɛr]
mooth [mo:θ]
morladres [mɔr’ladrɛs]
morladrynsi [ˌmɔrlad’rɪnzi]
morlanow [mɔr’lanɔʊ]
morlu [‘mɔrly]
moral [‘mɔral]
morben [‘mɔrbɛn]
mornaswydh [mɔr’nazwɪð]
morblek [‘mɔrblɛk]
mornya [‘mɤrnja]
morrep [‘mɔr:ɛp]
mordardh [‘mɔrdarð]
mordardha [mɔr’darða]
morthol [‘mɔrθɔl]
mordhos [‘mɔrðɔs]
mortholya [mɔr’θɔlja]
mortid [‘mɔrtɪd]
Nowyth [ˌmɔrdɪr’nɔwɪθ]
morverk [‘mɔrvɛrk]
morviaj [mɔr’vi:aʤ]
mordon [‘mɔrdɔn]
morviajya [ˌmɔrvi’aʤja]
mordrik [‘mɔrdrɪk]
morvil [‘mɔrvɪl]
mordu [‘mɔrdy]
morvleydh [‘mɔrvlɛɪð]
moredh [‘mɔrɛð]
morvoren [mɔr’vɔrɛn]
moredhek [mɔ’rɛðɛk]
morvran [‘mɔrvran]
morek [‘mɔrɛk]
moren [‘mɔrɛn]
morvugh [‘mɔrvʏx]
moresk [‘mɔrɛsk]
morwas [‘mɔrwas]
morfordh [‘mɔrfɔrð]
moryon [‘mɔrjɔn]
morgaryans [mɔr’garjans]
mos [mɔ:z]
moy [mɔˑɪ]
moyha [‘mɔɪha]
mujoven [mə’ʤɔvɛn]
mul [my:l]
mules [‘my:lɛs]
mosegi [mɔ’zɛgi]
mosek [‘mɔzɛk]
munys [‘mʏnɪs]
mosk [mɔ:sk]
munysen [mʏ’nɪzɛn]
moskito [mɔs’kitɔ]
Moslem [‘mɔzlɛm]
murder [‘mʏrdɛr]
Moslemes [mɔz’lɛmɛs]
mus [my:z]
mosokter [mɔ’zɔktɛr]
musellek [mʏ’zɛl:ɛk]
musician [ˌmʏzɪ’si:an]
mostard [‘mɔstart]
mostedhes [mɔs’tɛðɛs]
musicianes [ˌmʏzɪs’janɛs]
mosten [‘mɔstɛn]
musik [‘my:zɪk]
musikel [mʏ’zikɛl]
mostya [‘mɔstja]
muskegi [mʏs’kɛgi]
motorydh [mɔ’tɔrɪð]
motorydhes [ˌmɔtɔ’rɪðɛs]
muskoges [mʏs’kɔgɛs]
moutya [‘mu:tja]
moutyans [‘mu:tjans]
muskok [‘mʏskɔk]
movadow [mɔ’vadɔʊ]
muskotter [mʏs’kɔtɛr]
movya [‘mɔ:vja]
musur [‘mʏzʏr]
musura [mʏ’zʏra]
movyans [‘mɔ:vjans]
musurans [mʏ’zʏrans]
musurell [mʏ’zʏrɛl]
mowa [‘mɔwa]
my [mɪ:]
myghtern [mɪx’tɛrn]
mowes [‘mɔwɛs]
myghternes [mɪx’tɛrnɛs]
myttin [‘mɪtɪn]
myghterneth [mɪx’tɛrnɛθ]
myttinweyth [mɪ’tɪnwɛɪθ]
myghternses [mɪx’tɛrnzɛs]
mygla [‘mɪgla]
n [n]
mygyl [‘mɪgɪl]
myjer [‘mɪʤɛr]
myji [‘mɪʤi]
myll [mɪl:]
mynn [mɪn:]
mynnas [‘mɪn:as]
mynnes [‘mɪn:ɛs]
myns [mɪns]
nacyon [‘nasjɔn]
mynsek [‘mɪnzɛk]
nacyonal [‘nasjɔnal]
mynsonieth [ˌmɪnzɔ’ni:ɛθ]
Nadelik [na’dɛlɪk]
mynysen [mɪ’nɪzɛn]
myrgh [mɪrx]
nader [‘nadɛr]
nadh [na:ð]
nadha [‘naða]
myshyv [‘mɪʃɪv]
nag [nag]
mysk [mɪ:sk]
ga [ˌnaga]
gan [ˌnagan]
gas [ˌnagas]
myska [‘mɪska]
nagh [na:x]
nagha [‘naha]
mysterden [mɪs’tɛrdɛn]
nagonan [nag’ɔnɐn]
mysteri [‘mɪstɛri]
nagonen [nag’ɔnɛn]
mysterlu [mɪs’tɛrly]
nahen [na’hɛ:n]
mystrest [‘mɪstrɛst]
nahyns [na’hɪns]
mystrestya [mɪs’trɛstja]
naker [‘nakɛr]
myth [mɪ:θ]
mythologieth [mɪˌθɔlɔ’gi:ɛθ]
m [nam]
namenowgh [na’mɛnɔʊx]
nebes [‘nɛbɛs]
nameur [na’mø:r]
namm [nam:]
nebonan [nɛb’ɔnən]
namma [‘nam:a]
nebonen [nɛb’ɔnən]
nammys [‘nam:ɪs]
nebreydh [‘nɛbrɛɪð]
nedh [nɛ:ð]
namnygen [namnɪ’gɛ:n]
nedha [‘nɛða]
negedhek [nɛ’gɛðɛk]
namoy [na’mɔˑɪ]
negedhen [nɛ’gɛðɛn]
naneyl [nan’ɛɪl]
negedhys [nɛ’gɛðɪs]
negh [nɛ:x]
neghi [‘nɛhi]
neghus [‘nɛhʏs]
negys [‘nɛgɪs]
nantei [nan’tɛɪ]
negysyans [nɛ’gɪzjans]
naracyon [narasjɔn]
negysyas [nɛ’gɪzjas]
nas [na:z]
negysydh [nɛ’gɪzɪð]
naswydh [‘nazwɪð]
negysydhes [ˌnɛgɪ’zɪðɛs]
nasya [‘nazja]
nath [na:θ]
th [naθ]
natur [‘natʏr]
nektar [‘nɛktar]
naturel [na’tʏrɛl]
nell [nɛl:]
natureth [na’tʏrɛθ]
nen [nɛ:n]
naw [naˑʊ]
nena [‘nɛna]
nenbren [‘nɛnbrɛn]
nawves [‘naʊvɛs]
neppell [nɛp’pɛl:]
neb [nɛˑb]
neppyth [nɛp’pɪ:θ]
nerth [nɛrθ]
nerthek [‘nɛrθɛk]
nerven [‘nɛrvɛn]
neyj [nɛɪʤ]
nervus [‘nɛrvʏs]
neyja [‘nɛɪʤa]
nes [nɛ:z]
neyjer [‘nɛɪʤɛr]
nesa [‘nɛza]
neyjores [nɛɪ’ʤɔrɛs]
neshe [ˌnɛs’hɛ:]
neyjwisk [‘nɛɪʤwɪsk]
neshevin [nɛs’hɛvɪn]
neyth [nɛɪθ]
neythik [‘nɛɪθɪk]
neskar [‘nɛskar]
ni [ni:]
nesogas [nɛz’ɔgas]
nessa [‘nɛsa]
nicita [‘nisɪta]
Nijeri [nɪ’ʤɛri]
Nijerian [ˌnɪʤɛ’ri:an]
nester [‘nɛstɛr]
neus [nø:z]
nijerian [ˌnɪʤɛ’ri:an]
Nijerianes [nɪˌʤɛri’anɛs]
neuvell [‘nœvɛl]
neuvella [nœ’vɛl:a]
nikotin [‘nɪkɔˌtiˑn]
neuvwisk [‘nœvwɪsk]
nilon [‘ni:lɔn]
neuvya [‘nœvja]
neuvyer [‘nœvjɛr]
nith [ni:θ]
nitrojen [‘nɪtrɔʤɛn]
neuvyores [nœv’jɔrɛs]
nivel [‘nivɛl]
nev [nɛ:v]
niver [‘nivɛr]
nevek [‘nɛvɛk]
nevra [‘nɛvra]
nivera [ni’vɛra]
Nevyon [‘nɛvjɔn]
new [nɛˑʊ]
newrel [‘nɛʊrɛl]
niverek [nɪ’vɛrɛk]
newrologieth [nɛʊˌrɔlɔ’gi:ɛθ]
niverell [nɪ’vɛrɛl]
newrologydh [ˌnɛʊrɔ’lɔgɪð]
niveren [nɪ’vɛrɛn]
newrologydhes [nɛʊˌrɔlɔ’gɪðɛs]
niverennans [ˌnɪvɛ’rɛn:ans]
newrologyl [ˌnɛʊrɔ’lɔgɪl]
newrosys [nɛʊ’rɔzɪs]
niveronieth [nɪˌvɛrɔ’ni:ɛθ]
newrotek [nɛʊ’rɔtɛk]
niveroniethel [ˌnivɛrˌɔni’ɛθɛl]
newrotoges [ˌnɛʊrɔ’tɔgɛs]
niverus [nɪ’vɛrʏs]
newtron [‘nɛʊtrɔn]
niveryans [nɪ’vɛrjans]
noten [‘nɔ:tɛn]
niwl [nɪʊl]
niwlek [‘nɪʊlɛk]
nobyl [‘nɔbɪl]
noter [‘nɔ:tɛr]
nogadh [‘nɔgað]
noth [nɔ:θ]
nothedh [‘nɤθɛð]
nomber [‘nɔmbɛr]
notores [nɔ’tɔrɛs]
nombra [‘nɔmbra]
notya [‘nɔ:tja]
notyans [‘nɔ:tja]
Norgagh [‘nɔrgax]
notyes [‘nɔ:tjɛs]
Norgaghyades [ˌnɔrgax’jadɛs]
notys [‘nɔ:tɪs]
nougat [‘nu:gat]
Norgaghyas [nɔr’gaxjas]
novel [‘nɔvɛl]
nowedhi [nɔ’wɛði]
Norgahek [nɔr’gahɛk]
nowejyn [nɔ’wɛʤɪn]
norgahek [nɔr’gahɛk]
nown [nɔʊn]
nownek [‘nɔʊnɛk]
normal [‘nɔrmal]
normalhe [ˌnɔrmal’hɛ:]
normalheans [ˌnɔrmal’hɛ:ans]
nownsegves [nɔʊn’zɛgvɛs]
normalita [nɔr’malɪta]
nownsek [‘nɔʊnzɛk]
nowodhow [nɔ’wɔðɔʊ]
north [nɔrθ]
north-est [ˌnɔrθ’ɛ:st]
north-west [ˌnɔrθ’wɛ:st]
nowydh [‘nɔwɪθ]
Norvys [ˌnɔˑr’vɪ:z]
noy [nɔˑɪ]
noys [nɔɪz]
nuklerek [nʏ’klɛrɛk]
nygromons [nɪ’grɔmɔns]
nosedhek [nɔ’zɛðɛk]
nosweyth [‘nɔzwɛɪθ]
nyhewer [nɪ’hɛwɛr]
nosya [‘nɔsja]
nyni [‘nɪni]
nosyans [‘nɔsjans]
nynj [nɪnʤ]
nyns [nɪnz]
obaya [ɔ’baja]
offensus [ɔ’fɛnsʏs]
obayans [ɔ’bajans]
officer [ɔ’fɪsɛr]
obedyens [ɔ’bɛdjɛns]
offis [‘ɔfɪs]
ober [‘ɔbɛr]
offra [‘ɔfra]
oberador [ˌɔbɛ’radɔr]
ogas [‘ɔgas]
oberadores [ɔˌbɛra’dɔrɛs]
oberedh [ɔ’bɛrɛð]
ogasti [ˌɔgas’ti:]
oberen [ɔ’bɛrɛn]
ogatti [ˌɔga’ti:]
oberer [ɔ’bɛrɛr]
ogh [ɔ:x]
oberi [ɔ’bɛri]
oghen [‘ɔhɛn]
ojyon [‘ɔʤjɔn]
oberores [ˌɔbɛ’rɔrɛs]
okasyon [ɔ’kasjɔn]
oberwas [ɔ’bɛrwas]
oker [‘ɔkɛr]
oberyans [ɔ’bɛrjans]
oksid [ɔk’si:d]
objeta [ɔb’ʤɛta]
oksyjen [‘ɔksɪʤɛn]
oktav [‘ɔktav]
obtaynya [ɔb’taɪnja]
oktet [‘ɔktɛt]
od [ɔ:d]
okupya [ɔ’kʏpja]
ol [ɔ:l]
ola [‘ɤla]
odhom [‘ɔðɔm]
oles [‘ɔlɛs]
olew [‘ɔlɛʊ]
odhommek [ɔ’ðɔm:ɛk]
olewi [ɔ’lɛwi]
olifans [ɔ’lifans]
oliv [‘ɔlɪv]
odour [‘ɔdʊr]
oll [ɔl:]
oferen [ɔ’fɛrɛn]
olldalhus [ɔl’dalhʏs]
oferenni [ˌɔfɛ’rɛn:i]
ollgallos [ɔl:’gal:ɔs]
offendya [ɔ’fɛndja]
offens [ɔ’fɛns]
ollgalosek [ˌɔlga’lɤzɛk]
omdava [əm’dava]
ollgemmyn [ɔl’gɛm:ɪn]
ollvys [‘ɔlvɪs]
ollvysel [ɔl’vɪzɛl]
omdenna [əm’dɛn:a]
olva [‘ɤlva]
om- [əm-]
omdennans [əm’dɛn:ans]
omach [‘ɔmaʧ]
omajer [ɔ’maʤɛr]
omdennys [əm’dɛn:ɪs]
omaskusya [ˌɔmas’kʏzja]
omdewlel [əm’dɛʊlɛl]
omassaya [ˌɔma’saja]
omdhal [‘ɔmðal]
omdhalgh [‘ɔmðalx]
ombareusi [ˌɔmba’rœzi]
omdhegi [əm’ðɛgi]
omdhegyans [əm’ðɛgjans]
ombellhe [ˌɔmbɛlˑ’hɛ:]
omdhesedha [ˌɔmðɛ’zɛða]
omberthi [əm’bɛrθi]
omdhidhana [ˌɔmðɪ’ðana]
omblegya [əm’blɛgja]
omdhifuna [ˌɔmðɪ’fʏna]
omblegyans [əm’blɛgjans]
omdhisevel [ˌɔmðɪ’zɛvɛl]
skans [əm’ðɪskans]
omborth [‘ɔmbɔrθ]
ski [ɔm’ðɪski]
ombraysya [əm’braɪzja]
omdhiskwedhes [ˌɔmðɪ’skwɛðɛs]
ombrederi [ˌɔmbrɛ’dɛri]
omdhivades [ˌɔmðɪ’vadɛs]
ombrevi [əm’brɛvi]
omdhivarva [ˌɔmðɪ’varva]
ombrofya [əm’brɔfja]
omdhivas [əm’ðivas]
ombrofyans [əm’brɔfjans]
omdhivasa [ˌɔmðɪ’vaza]
ombrofyer [əm’brɔfjɛr]
omdhivases [ˌɔmðɪ’vazɛs]
ombrofyores [ˌɔmbrɔf’jɔrɛs]
omdhivlamya [ˌɔmðɪ’vlaˑmja]
omglewes [əm’glɛwɛs]
omdhivroa [ˌɔmðɪ’vrɔ:a]
omdhivroans [ˌɔmðɪ’vrɔ:ans]
omgnoukya [əm’gnʊkja]
omdhon [‘ɔmðɤn]
omgomendya [ˌɔmgɔ’mɛndja]
omdhoon [əm’ðo:n]
omgonfortya [ˌomgɔn’fɔrtja]
omdowl [‘ɔmdɔʊl]
omgregi [əm’grɛgi]
omgudha [əm’gʏða]
omdowler [əm’dɔʊlɛr]
omguntel [əm’gʏntɛl]
omdowlores [ˌɔmdɔʊ’lɔrɛs]
omgussulya [ˌɔmgʏ’sʏlja]
omdreylya [əm’drɛɪlja]
omdroghya [əm’drɔxja]
omgussulyans [ˌɔmgʏ’sʏljans]
omdyghtya [əm’dɪxtja]
omhedhi [əm’hɛði]
omheveli [ˌɔmhɛ’vɛli]
omgavos [əm’gavɤs]
omgelmi [əm’gɛlmi]
omhowla [əm’hɔʊla]
omgemeres [ˌɔmgɛ’mɛrɛs]
omhweles [əm’ʍɛlɛs]
omjastya [əm’ʤastja]
omgemeryades [əmˌgɛmɛr’jadɛs]
omjersya [əm’ʤɛrsja]
omgemeryans [ˌɔmgɛr’mɛrjans]
omjerya [əm’ʤɛrja]
omgemeryansek [əmˌgɛmɛr’janzɛk]
omjunya [əm’ʤʏnja]
omgemeryas [ˌɔmgɛ’mɛrjas]
omladh [‘ɔmlað]
omladha [əm’laða]
omladhans [əm’laðans]
omgerensa [ˌɔmgɛ’rɛnza]
omladhus [əm’laðʏs]
omgerensedhek [əmˌgɛrɛn’zɛðɛk]
omlavar [əm’lavar]
omlena [əm’lɛna]
omglewans [əm’glɛwans]
